MedianIncome,HouseAge,AverageRooms,AverageBedrooms,Population,AverageOccupancy,Latitude,Longitude,RoomsPerOccupant,BedroomRoomRatio,PopulationPerRoom,MedianHouseValue
2.5410055499086748,0.9821426581785077,1.3476645292768645,-0.4244883144692624,-1.325821304862963,-0.4978705739771399,1.0525482830366848,-1.3278352216308462,1.3376379665220404,-1.154776303908659,-1.2273122403925676,4.526
2.5410055499086748,-0.6070189133741593,0.749027043439096,-1.07000436987892,1.3899361407397908,-1.142780526714198,1.043184551645693,-1.3228439144608317,1.7098110790805257,-0.9897637748632493,0.622212464191985,3.585
2.085155516645964,1.8561815225324745,2.3940975086800282,0.19253366302232214,-1.0985284739178551,-0.1409103351142556,1.038502685950199,-1.3328265288008536,1.711435347581178,-1.4608449677451063,-1.1523016597232114,3.521
1.1112879120855073,1.8561815225324745,0.4113576407307366,0.18772337920180512,-1.0175390743856902,-0.5088821049260633,1.038502685950199,-1.3378178359708683,0.5895757349351839,-0.47599875640749023,-0.9553565012840123,3.413
0.027262205194171066,1.8561815225324745,0.7841081558740034,0.28743926272438836,-1.0083951099223813,-1.0391447161274454,1.038502685950199,-1.3378178359708683,1.5816781150141512,-0.69759778183013,-0.9879938097162853,3.422
0.1422465113511576,1.8561815225324745,-0.4358089784452235,0.5677009077720339,-1.206949766839947,-1.0992941493076456,1.038502685950199,-1.3378178359708683,0.4931541754076045,0.37213092053072705,-1.0055023277862034,2.697
-0.08561063678889372,1.8561815225324745,-0.2991889197770233,-1.325065961411986,-0.317372652623749,-1.1159216698215957,1.0338208202547048,-1.3378178359708683,0.6461762717677919,-0.32469303726933985,-0.2680289470418553,2.992
-0.4108364471206425,1.8561815225324745,-0.40702502572966215,0.04805712303692147,-0.23507697245396855,-1.6080915880187272,1.0338208202547048,-1.3378178359708683,1.2542787638401318,0.1848793714633116,-0.16241930173440697,2.414
-1.0380016343231766,1.0616007367561409,-0.810997971554096,0.7419812584739334,-0.171069221210806,-1.2628036901106805,1.0338208202547048,-1.3428091431408828,0.3158410329574284,0.8830010018930493,0.054223146124016075,2.267
-0.06624549393664168,1.8561815225324745,-0.2681479257880317,-0.842328161493685,0.2795975987665629,-1.052453838146724,1.0338208202547048,-1.3378178359708683,0.5979701140031018,-0.21155647665483274,0.22447700701909762,2.611
-0.3607042548769617,1.8561815225324745,0.1387254050749167,0.26905307340897056,-0.5577282899450124,-0.920187438549568,1.038502685950199,-1.3428091431408828,0.8168161683260934,-0.24951271378197468,-0.5720564057552693,2.815
-0.32004348764201473,1.8561815225324745,-0.4271249798259077,-0.4156172822946933,0.2182024087986315,-1.2307464667624382,1.038502685950199,-1.3428091431408828,0.6660313906808835,0.0656026629250782,0.2414262025615839,2.418
-0.43798384364249127,1.8561815225324745,0.014372137049341793,-0.5610898029195526,-0.3121475300732867,-0.8008570832409686,1.038502685950199,-1.3428091431408828,0.5654858442487067,-0.37155603102648704,-0.3528260048266886,2.135
-0.6801386206173828,1.8561815225324745,-1.0470197305828195,0.4940389354551272,-1.295776850197805,-1.326659146467289,1.0338208202547048,-1.3428091431408828,0.14755141635687385,1.1366643635344726,-1.0081473120646558,1.913
-1.13675783011488,1.8561815225324745,-0.8360467324316606,-0.6001607662827532,-0.16323153738511265,-1.3670568891634856,1.038502685950199,-1.3428091431408828,0.4191595820640455,0.46316152618700285,0.07313387248508865,1.592
-1.0110955479926331,1.6972653653772076,-0.8524805837470233,0.17417805726176266,-0.8359660657571272,-0.3754673969971799,1.038502685950199,-1.3428091431408828,-0.5352116528644978,0.746852875135636,-0.5820901809178776,1.4
-0.6189664871214836,1.8561815225324745,0.509440376993911,-0.11957673425770186,-0.7105631245460332,-0.7290661494533803,1.038502685950199,-1.3478004503108902,0.9156331007471784,-0.618644523868494,-0.7501356520249441,1.525
-1.013991270288297,1.8561815225324745,-1.0046448669156165,-1.130713501457326,-0.8999738170002898,-1.1011498348956623,1.038502685950199,-1.3478004503108902,-0.055910632841352795,0.49448176539258915,-0.6061306626188071,1.555
